tempo,distanza,difficolta
0.5,1,Facile
0.8,2,Facile
1.2,3,Facile
1.5,4,Facile
2.0,5,Facile
1.3,3,Media
2.5,6,Media
3.5,9,Media
4.5,12,Media
5.5,15,Media
2.0,3,Difficile
4.0,5,Difficile
6.0,8,Difficile
8.0,17,Difficile
10.0,23,Difficile
12.0,26,Difficile
0.7,1.5,Facile
0.9,2.5,Facile
1.1,3.5,Facile
1.3,4.5,Facile
1.8,5.5,Facile
2.2,7,Facile
2.8,9,Facile
3.1,10,Facile
2.2,5,Media
2.9,7.5,Media
3.4,8.5,Media
4.1,11,Media
4.8,13.5,Media
5.2,14.5,Media
6.1,18,Media
3.2,7,Difficile
5.1,12,Difficile
6.8,16,Difficile
7.5,19,Difficile
9.5,22,Difficile
